Pillar ID,Pillar Name,Layer ID,Layer Name,Verification Test ID,Verification Test Name,Audit Score (0-5),Normalized Pillar Weight,Weighted Test Score
P1,Attentiveness,L1,Written Layer,1.1,Community-Led Red Teaming Execution,,0.15,=(G2*H2)/16
P1,Attentiveness,L1,Written Layer,1.2,The Veto Power Metric,,0.15,=(G3*H3)/16
P1,Attentiveness,L1,Written Layer,1.3,Rule Document Provenance,,0.15,=(G4*H4)/16
P1,Attentiveness,L1,Written Layer,1.4,Evolutionary Scaling Bounding (RSP Evolution),,0.15,=(G5*H5)/16
P1,Attentiveness,L2,Audio/Video Layer,2.1,Moral Framing vs. Operational Resource Allocations,,0.15,=(G6*H6)/16
P1,Attentiveness,L2,Audio/Video Layer,2.2,Institutional Inclusivity in Spoken Threat Modeling,,0.15,=(G7*H7)/16
P1,Attentiveness,L2,Audio/Video Layer,2.3,Definition of Catastrophe,,0.15,=(G8*H8)/16
P1,Attentiveness,L2,Audio/Video Layer,2.4,Acknowledgment of Structural Asymmetries,,0.15,=(G9*H9)/16
P1,Attentiveness,L3,User Feedback Layer,3.1,Public Interest Routing Latency,,0.15,=(G10*H10)/16
P1,Attentiveness,L3,User Feedback Layer,3.2,Open Democratic Contestation Access,,0.15,=(G11*H11)/16
P1,Attentiveness,L3,User Feedback Layer,3.3,Feedback Loop Transparency,,0.15,=(G12*H12)/16
P1,Attentiveness,L3,User Feedback Layer,3.4,Asymmetry Mapping in Feature Requests,,0.15,=(G13*H13)/16
P1,Attentiveness,L4,Whistleblower Layer,4.1,Internal Escalation Priorities,,0.15,=(G14*H14)/16
P1,Attentiveness,L4,Whistleblower Layer,4.2,Whistleblower Channel Bounding,,0.15,=(G15*H15)/16
P1,Attentiveness,L4,Whistleblower Layer,4.3,Telemetry Remediation Focus,,0.15,=(G16*H16)/16
P1,Attentiveness,L4,Whistleblower Layer,4.4,Sandbox Failure Candor,,0.15,=(G17*H17)/16
P2,Responsibility,L1,Written Layer,1.1,Public Service Level Agreements (CSLAs),,0.2,=(G18*H18)/16
P2,Responsibility,L1,Written Layer,1.2,Independent Safety Board Veto Power,,0.2,=(G19*H19)/16
P2,Responsibility,L1,Written Layer,1.3,Downstream Liability Shifting Mapping,,0.2,=(G20*H20)/16
P2,Responsibility,L1,Written Layer,1.4,Structural Stance on Commercialized Violence and Sandbox Triage,,0.2,=(G21*H21)/16
P2,Responsibility,L2,Audio/Video Layer,2.1,Verbal Pledges vs. Credible Commitments,,0.2,=(G22*H22)/16
P2,Responsibility,L2,Audio/Video Layer,2.2,Acknowledgment of Downstream Legal Damage,,0.2,=(G23*H23)/16
P2,Responsibility,L2,Audio/Video Layer,2.3,Position on Legal Liability Under Oath,,0.2,=(G24*H24)/16
P2,Responsibility,L2,Audio/Video Layer,2.4,Verbal Commitment to Rights vs. Market Domination,,0.2,=(G25*H25)/16
P2,Responsibility,L3,User Feedback Layer,3.1,Collective Recourse Ingress,,0.2,=(G26*H26)/16
P2,Responsibility,L3,User Feedback Layer,3.2,Open Logging of Downstream Contract Failures,,0.2,=(G27*H27)/16
P2,Responsibility,L3,User Feedback Layer,3.3,Fractal Responsibility and Shared Stewardship Tracking,,0.2,=(G28*H28)/16
P2,Responsibility,L3,User Feedback Layer,3.4,Response to Power Disparities in Open Issues,,0.2,=(G29*H29)/16
