Pillar ID,Pillar Name,Layer ID,Layer Name,Verification Test ID,Verification Test Name,Audit Score (0-5),Normalized Pillar Weight,Weighted Test Score
P1,Attentiveness,L1,Written Layer,1.1,Community-Led Red Teaming Execution,,0.15,=(G3*H3)/4
P1,Attentiveness,L1,Written Layer,1.2,The Veto Power Metric,,0.15,=(G4*H4)/4
P1,Attentiveness,L1,Written Layer,1.3,Rule Document Provenance,,0.15,=(G5*H5)/4
P1,Attentiveness,L1,Written Layer,1.4,Evolutionary Scaling Bounding (RSP Evolution),,0.15,=(G6*H6)/4
P1,Attentiveness,L2,Audio/Video Layer,2.1,Moral Framing vs. Operational Resource Allocations,,0.15,=(G7*H7)/4
P1,Attentiveness,L2,Audio/Video Layer,2.2,Institutional Inclusivity in Spoken Threat Modeling,,0.15,=(G8*H8)/4
P1,Attentiveness,L2,Audio/Video Layer,2.3,Definition of Catastrophe,,0.15,=(G9*H9)/4
P1,Attentiveness,L2,Audio/Video Layer,2.4,Acknowledgment of Structural Asymmetries,,0.15,=(G10*H10)/4
P1,Attentiveness,L2,Audio/Video Layer,2.5,Position on Legal Liability Under Oath,,0.15,=(G11*H11)/4
P1,Attentiveness,L3,User Feedback Layer,3.1,Public Interest Routing Latency,,0.15,=(G12*H12)/4
P1,Attentiveness,L3,User Feedback Layer,3.2,Open Democratic Contestation Access,,0.15,=(G13*H13)/4
P1,Attentiveness,L3,User Feedback Layer,3.3,Feedback Loop Transparency,,0.15,=(G14*H14)/4
P1,Attentiveness,L3,User Feedback Layer,3.4,Asymmetry Mapping in Feature Requests,,0.15,=(G15*H15)/4
P1,Attentiveness,L4,Whistleblower Layer,4.1,Internal Escalation Priorities,,0.15,=(G16*H16)/4
P1,Attentiveness,L4,Whistleblower Layer,4.2,Whistleblower Channel Bounding,,0.15,=(G17*H17)/4
P1,Attentiveness,L4,Whistleblower Layer,4.3,Telemetry Remediation Focus,,0.15,=(G18*H18)/4
P1,Attentiveness,L4,Whistleblower Layer,4.4,Sandbox Failure Candor,,0.15,=(G19*H19)/4
