Pillar ID,Pillar Name,Layer ID,Layer Name,Verification Test ID,Verification Test Name,Audit Question,Audit Score (0-5),Normalized Pillar Weight,Weighted Test Score
P1,Attentiveness,L1,Written Layer,1.1,Community-Led Red Teaming Execution,"Do the model release notes or safety reports cite a formal coordination mechanism with grassroots civil society networks while strictly filtering out bad-faith actors, or were red-teaming cohorts recruited strictly from enterprise safety firms and Western academic institutions?",,0.15,=(H2*I2)/16
P1,Attentiveness,L1,Written Layer,1.2,The Veto Power Metric,"Is the model’s behavioral guidance (like a model constitution) an un-ratified internal document, or was it derived through deliberative public processes?",,0.15,=(H3*I3)/16
P1,Attentiveness,L1,Written Layer,1.3,Rule Document Provenance,"Does the release documentation publish distinct error and failure rates split across localized regional dialects, or are safety metrics aggregated into a single universal average?",,0.15,=(H4*I4)/16
P1,Attentiveness,L1,Written Layer,1.4,Evolutionary Scaling Bounding (RSP Evolution),"Does the lab's latest scaling policy framework maintain strict, non-negotiable pause rules, or has it introduced competitive rollbacks that tie safety triggers to external market variables?",,0.15,=(H5*I5)/16
P1,Attentiveness,L2,Audio/Video Layer,2.1,Moral Framing vs. Operational Resource Allocations,"When analyzed via speech-to-text transcriptions, does C-suite executive language rely on abstract, qualitative catchphrases (""benefiting all humanity""), or does it detail explicit operational allocations (e.g., dedicated server compute time, multi-year funding) for community-led safety testing?",,0.15,=(H6*I6)/16
P1,Attentiveness,L2,Audio/Video Layer,2.2,Institutional Inclusivity in Spoken Threat Modeling,"In public policy panels or keynotes, do the technical founders include grassroots, non-Western civil society representatives when listing their primary safety consulting partners, or do they reference only elite national security bodies and corporate auditing firms?",,0.15,=(H7*I7)/16
P1,Attentiveness,L2,Audio/Video Layer,2.3,Definition of Catastrophe,"In public interviews, how do the lab's founders define a model deployment ""catastrophe""? Is it framed exclusively as an immediate hardware security breach or a black-swan existential event, or does it incorporate the slow-moving erosion of democratic public spaces and civic trust?",,0.15,=(H8*I8)/16
P1,Attentiveness,L2,Audio/Video Layer,2.4,Acknowledgment of Structural Asymmetries,"During broadcast congressional testimonies or formal regulatory depositions, does the lab's leadership accept ultimate societal stewardship and financial liability over model deployment failures, or do they lobby for contractual flexibility that leaves downstream risk management to users?",,0.15,=(H9*I9)/16
P1,Attentiveness,L3,User Feedback Layer,3.1,Public Interest Routing Latency,"When an independent NGO or civic watchdog flags a live model alignment failure (e.g., structural bias, hallucinated defamation) on developer forums or issue trackers, does a transparent pipeline route this input directly to core safety alignment teams, or is it funneled into generic customer queues?",,0.15,=(H10*I10)/16
P1,Attentiveness,L3,User Feedback Layer,3.2,Open Democratic Contestation Access,"Does the forum tracker show that individual, non-enterprise users possess a formal channel to challenge a model's safety filtration rules when they actively censor legitimate civic expression or human rights documentation while the platform maintains its non-negotiable hospitality floor?",,0.15,=(H11*I11)/16
P1,Attentiveness,L3,User Feedback Layer,3.3,Feedback Loop Transparency,"Is there a public, interactive tracker logging user-reported socio-political harms alongside real-time algorithmic fixes, or are model behavior patches executed through opaque, unannounced server-side updates?",,0.15,=(H12*I12)/16
